X,Y,OBJECTID,FileNumber,OccuranceYear,ReportedDate,ReportedTime,ReportedWeekday,Offense,OffenseCategory,HouseNumber,StreetName,City,ReportedDateText,ReportedTimeText,Lat,Lon
536600,5453830,1134661,2018-18684,2018,2018-08-10T00:00:00.000Z,2018-08-10T22:15:00.000Z,Friday,BREAK & ENTER-BUSINESS,BREAK & ENTER - BUS,128XX,261A ST,MAPLE RIDGE,"Aug 10, 2018",10:15 pm,49.2369442,-122.4979219
529780,5451580,1134662,2018-18693,2018,2018-08-11T00:00:00.000Z,2018-08-11T01:04:00.000Z,Saturday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,227XX,LOUGHEED HWY,MAPLE RIDGE,"Aug 11, 2018",1:04 am,49.1992265,-122.5775593
526810,5453490,1134665,2018-18717,2018,2018-08-11T00:00:00.000Z,2018-08-11T09:04:00.000Z,Friday,BREAK & ENTER-OTHER,BREAK & ENTER - OTH,127XX,LAITY ST,MAPLE RIDGE,"Aug 11, 2018",9:04 am,49.2171373,-122.631898
526660,5451940,1134666,2018-18720,2018,2018-08-11T00:00:00.000Z,2018-08-11T09:42:00.000Z,Saturday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,211XX,COOK AVE,MAPLE RIDGE,"Aug 11, 2018",9:42 am,49.2195862,-122.6405412
532740,5448750,1134667,2018-18721,2018,2018-08-11T00:00:00.000Z,2018-08-11T09:59:00.000Z,Friday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,242XX,103A AVE,MAPLE RIDGE,"Aug 11, 2018",9:59 am,49.1902388,-122.5605538
522220,5453040,1134669,2018-18736,2018,2018-08-11T00:00:00.000Z,2018-08-11T11:51:00.000Z,Friday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,190XX,MCMYN RD,PITT MEADOWS,"Aug 11, 2018",11:51 am,49.2297317,-122.6936358
529160,5451660,1134670,2018-18749,2018,2018-08-11T00:00:00.000Z,2018-08-11T14:31:00.000Z,Saturday,THEFT-OTHER UNDER $5000,OTHER THEFT U/5000,224XX,LOUGHEED HWY,MAPLE RIDGE,"Aug 11, 2018",2:31 pm,49.1992265,-122.5775593
528660,5452170,1134671,2018-18755,2018,2018-08-11T00:00:00.000Z,2018-08-11T15:13:00.000Z,Saturday,BREAK & ENTER-RESIDENCE,BREAK & ENTER - RES,222XX,BROWN AVE,MAPLE RIDGE,"Aug 11, 2018",3:13 pm,49.2214066,-122.5993716
528690,5452080,1134673,2018-18779,2018,2018-08-11T00:00:00.000Z,2018-08-11T22:17:00.000Z,Saturday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,120XX,PLAZA ST,MAPLE RIDGE,"Aug 11, 2018",10:17 pm,49.2209341,-122.6059713
527290,5451970,1134675,2018-18807,2018,2018-08-12T00:00:00.000Z,2018-08-12T09:49:00.000Z,Saturday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,215XX,ASHBURY CRT,MAPLE RIDGE,"Aug 12, 2018",9:49 am,49.2198611,-122.6243073
529200,5451920,1134678,2018-18824,2018,2018-08-12T00:00:00.000Z,2018-08-12T15:22:00.000Z,Sunday,THEFT BICYCLE UNDER $5000,BIKE THEFT,119XX,HANEY PL,MAPLE RIDGE,"Aug 12, 2018",3:22 pm,49.2190735,-122.6002259
532940,5448210,1134679,2018-18838,2018,2018-08-12T00:00:00.000Z,2018-08-12T18:26:00.000Z,Sunday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,101XX,243A ST,MAPLE RIDGE,"Aug 12, 2018",6:26 pm,49.2063537,-122.5488166
523760,5452500,1134680,2018-18839,2018,2018-08-12T00:00:00.000Z,2018-08-12T18:59:00.000Z,Sunday,THEFT BICYCLE UNDER $5000,BIKE THEFT,198XX,LOUGHEED HWY,PITT MEADOWS,"Aug 12, 2018",6:59 pm,49.2238573,-122.672566973027
525940,5452030,1134683,2018-18852,2018,2018-08-12T00:00:00.000Z,2018-08-12T22:48:00.000Z,Sunday,THEFT-OTHER UNDER $5000,OTHER THEFT U/5000,208XX,DEWDNEY TRUNK RD,MAPLE RIDGE,"Aug 12, 2018",10:48 pm,49.2199546,-122.4428793
524280,5451740,1134684,2018-18858,2018,2018-08-13T00:00:00.000Z,2018-08-13T00:31:00.000Z,Monday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,200XX,DUNN AVE,MAPLE RIDGE,"Aug 13, 2018",12:31 am,49.2179434,-122.6679022
526520,5452160,1134688,2018-18871,2018,2018-08-13T00:00:00.000Z,2018-08-13T07:39:00.000Z,Monday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,211XX,GLENWOOD AVE,MAPLE RIDGE,"Aug 13, 2018",7:39 am,49.2220467,-122.6287273
523240,5451700,1134689,2018-18874,2018,2018-08-13T00:00:00.000Z,2018-08-13T08:26:00.000Z,Sunday,THEFT MOTORCYCLE UNDER $5000,AUTO THEFT,118XX,BONSON RD,PITT MEADOWS,"Aug 13, 2018",8:26 am,49.2155633,-122.6782535
527640,5452040,1134693,2018-18884,2018,2018-08-13T00:00:00.000Z,2018-08-13T09:54:00.000Z,Monday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,216XX,DEWDNEY TRUNK RD,MAPLE RIDGE,"Aug 13, 2018",9:54 am,49.2199546,-122.4428793
530770,5451290,1134700,2018-18916,2018,2018-08-13T00:00:00.000Z,2018-08-13T15:00:00.000Z,Thursday,BREAK & ENTER-RESIDENCE,BREAK & ENTER - RES,232XX,116A AVE,MAPLE RIDGE,"Aug 13, 2018",3:00 pm,49.2135895,-122.5784468
529120,5452040,1134701,2018-18926,2018,2018-08-13T00:00:00.000Z,2018-08-13T16:35:00.000Z,Monday,THEFT BICYCLE UNDER $5000,BIKE THEFT,224XX,DEWDNEY TRUNK RD,MAPLE RIDGE,"Aug 13, 2018",4:35 pm,49.2199546,-122.4428793
530060,5453100,1134702,2018-18940,2018,2018-08-13T00:00:00.000Z,2018-08-13T18:12:00.000Z,Monday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,229XX,125A AVE,MAPLE RIDGE,"Aug 13, 2018",6:12 pm,49.2298238,-122.592872
531330,5450400,1134703,2018-18977,2018,2018-08-14T00:00:00.000Z,2018-08-14T03:17:00.000Z,Tuesday,BREAK & ENTER-OTHER,BREAK & ENTER - OTH,235XX,GILKER HILL RD,MAPLE RIDGE,"Aug 14, 2018",3:17 am,49.2053854,-122.5701888
520180,5454620,1134704,2018-18978,2018,2018-08-14T00:00:00.000Z,2018-08-14T04:00:00.000Z,Tuesday,BREAK & ENTER-BUSINESS,BREAK & ENTER - BUS,179XX,KENNEDY RD,PITT MEADOWS,"Aug 14, 2018",4:00 am,49.2428145,-122.7199154
530570,5450200,1134705,2018-18979,2018,2018-08-14T00:00:00.000Z,2018-08-14T05:45:00.000Z,Tuesday,THEFT-OTHER UNDER $5000,OTHER THEFT U/5000,231XX,LOUGHEED HWY,MAPLE RIDGE,"Aug 14, 2018",5:45 am,49.1992265,-122.5775593
525720,5453070,1134706,2018-18983,2018,2018-08-14T00:00:00.000Z,2018-08-14T06:59:00.000Z,Monday,THEFT OF TRUCK UNDER $5000,AUTO THEFT,125XX,KNOTTS ST,MAPLE RIDGE,"Aug 14, 2018",6:59 am,49.2304667,-122.646768
523070,5451340,1134707,2018-18987,2018,2018-08-14T00:00:00.000Z,2018-08-14T08:38:00.000Z,Tuesday,THEFT-OTHER OVER $5000,OTHER THEFT O/5000,194XX,116B AVE,PITT MEADOWS,"Aug 14, 2018",8:38 am,49.2143998,-122.6821509
520030,5454660,1134711,2018-19016,2018,2018-08-14T00:00:00.000Z,2018-08-14T14:36:00.000Z,Sunday,THEFT-OTHER UNDER $5000,OTHER THEFT U/5000,179XX,KENNEDY RD,PITT MEADOWS,"Aug 14, 2018",2:36 pm,49.2428145,-122.7199154
520030,5454660,1134712,2018-19017,2018,2018-08-14T00:00:00.000Z,2018-08-14T14:40:00.000Z,Tuesday,THEFT-OTHER OVER $5000,OTHER THEFT O/5000,179XX,KENNEDY RD,PITT MEADOWS,"Aug 14, 2018",2:40 pm,49.2428145,-122.7199154
530040,5451290,1134713,2018-19035,2018,2018-08-14T00:00:00.000Z,2018-08-14T18:01:00.000Z,Tuesday,BREAK & ENTER-OTHER,BREAK & ENTER - OTH,229XX,LOUGHEED HWY,MAPLE RIDGE,"Aug 14, 2018",6:01 pm,49.1992265,-122.5775593
527190,5452600,1134716,2018-19055,2018,2018-08-14T00:00:00.000Z,2018-08-14T23:17:00.000Z,Tuesday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,214XX,STONEHOUSE AVE,MAPLE RIDGE,"Aug 14, 2018",11:17 pm,49.2254789,-122.6361164
529920,5452900,1134718,2018-19065,2018,2018-08-15T00:00:00.000Z,2018-08-15T05:43:00.000Z,Wednesday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,228XX,ABERNETHY LANE,MAPLE RIDGE,"Aug 15, 2018",5:43 am,49.2287056,-122.5843605
523980,5451060,1134719,2018-19068,2018,2018-08-15T00:00:00.000Z,2018-08-15T06:20:00.000Z,Tuesday,THEFT OF TRUCK OVER $5000,AUTO THEFT,115XX,WILDWOOD CRES,PITT MEADOWS,"Aug 15, 2018",6:20 am,49.2118193,-122.6707453
